"sys_created_on","number","short_description","description","u_error_symptoms","tags"
"2025-02-12 20:30:36","INC41533273","IRIS Issue","ORDER#782171006 02/12/2025 14:24:23 SYSADMIN 99 - Communication Error - Please release the HOLD, If issue persist please contact IT BPEL Fault Error : BPEL Instance Id : () Adjudication Id :  Claim Id :  Please Copy this message and send it to IT for triage  Fault Details -> </faultstring><faultactor></faultactor><detail><exception/></detail></env:Fault></env:Body></env:Envelope>","","Errors, User Request"
"2025-02-12 20:35:32","INC41533416","Request for Help Desk support","IRIS production add","","?"
"2025-02-12 20:37:24","INC41533461","IRIS (Integrated Rx Information System) - Unable to Login","I'm trying to reset my password for IRIS","Login failed. Please verify your login information or contact the system administrator.","Password, User Login"
"2025-02-12 20:43:56","INC41533626","IRIS Issue","ORDER#782171006 02/12/2025 14:24:23 SYSADMIN 99 - Communication Error - Please release the HOLD, If issue persist please contact IT BPEL Fault Error : BPEL Instance Id : () Adjudication Id :  Claim Id :  Please Copy this message and send it to IT for triage  Fault Details -> </faultstring><faultactor></faultactor><detail><exception/></detail></env:Fault></env:Body></env:Envelope> - Clone of INC41533273","","Errors, User Request"
"2025-02-12 20:48:04","INC41533791","IRIS - Submit a ticket to for getting IRIS TS02 User ID setup","Submit a ticket to for getting IRIS TS02 User ID setup","Submit a ticket to for getting IRIS TS02 User ID setup","?"
"2025-02-12 20:54:15","INC41533964","IRIS (Integrated Rx Information System) - Unable to find issue for IRIS","When I'm about to do my notes in IRIS the option SP DEL SET is missing and I'm the only one who don't have this option, and I need it to do my job properly","missing SP DEL SET option under Type","Errors"
"2025-02-12 20:56:58","INC41533896","IRIS Prod - Specialty Portal address issue - The team needs to assess the impact by identifying how many patients' email addresses in Iris were updated through the specialty portal and how many of those do not match the email address from EPMP.","The team is addressing an issue where the email address of a patient (HSID) might be incorrectly updated in the Iris system through the specialty portal, potentially overwriting the patient's preferred email address from EPMP.  If the patient's preferred email address in EPMP is different from the HSID's email address, the system might incorrectly update the patient's email address in Iris. The team needs to assess the impact by identifying how many patients' email addresses in Iris were updated through the specialty portal and how many of those do not match the email address from EPMP.","","User Request"
"2025-02-12 21:05:50","INC41534297","IRIS - I can not get IRIS to remove an invalid phone number from an account & opt the member into texts with the valid number. It keeps resetting to the bad number repeatedly no matter what I do.","I can not get IRIS to remove an invalid phone number from an account and opt the member into texts with the valid number. It keeps resetting to the bad number repeatedly no matter what I do.   She's removing an incorrect number, then opting text in, and she saves between each step. When she goes out of the account and back in, it's like she never made the changes and it's reverted to previous info Updated java 401 to 421, cleared java cache, edge cache","","Errors"
"2025-02-12 21:27:00","INC41534813","PQH Cancellation program is not working consistently and is removing holds or cancelling orders after 2 pt contact attempts.  Possibly related to INC40472549. In addition, the dialer did not trigger and send alerts to patient.","PQH Cancellation program is not working consistently and is removing holds or cancelling orders after 2 pt contact attempts.  Possibly related to INC40472549. In addition, the dialer did not trigger and send alerts to patient.","","Order Issue, User Request"
"2025-02-12 21:46:04","INC41535381","Selected Issue: IRIS - Iris is not allowing me to paste in certain areas i normally would be, wont let me hit enter while i search for an account or let me right click on some drop downs. ","Iris is not allowing me to paste in certain areas i normally would be, wont let me hit enter while i search for an account or let me right click on some drop downs. ","","User Login"
"2025-02-12 21:50:04","INC41535458","IRIS - I can not get IRIS to remove an invalid phone number from an account & opt the member into texts with the valid number. It keeps resetting to the bad number repeatedly no matter what I do.","I can not get IRIS to remove an invalid phone number from an account and opt the member into texts with the valid number. It keeps resetting to the bad number repeatedly no matter what I do. INC41534297 Remoted in EU showed me the issue, the changes she made reverted back. She confirms that she saves after every step yet it continues to revert when she goes back into the account. Had her close IRIS and edge windows Network icon is the globe. Had her unplug dock then plug it back in after 10 seconds and that resolved the network icon issue Java 401 is installed along with java settings for IRIS and java exception sites Installed from altiris: Java Exception Sites Cleanup Utility 2022.03.29 Install, Java Settings for IRIS 2021.03.26 Install (REBOOT) *WARN* Cleared edge cache, java cache, all extensions are enabled in edge, all TLS settings are enabled in java Sarah tested IRIS and the changes are still reverting Escalated INC41534297 to MSA ORACLE EBS (RXS) - SPT on high priority per EU request","","?"
"2025-02-12 21:59:11","INC41535700","Selected Issue: IRIS","Since Monday 2/10/25, there has been multiple assistance with my Iris lagging, not populating the members account until after I had manually brought it up. It seemed to be working fine, today, until about half way through my day. Then it started happening again. There are prior tickets INC41482353 INC41491294 INC41504785 INC41512354 INC41513484 ","","Latency, Alert"
"2025-02-12 22:03:12","INC41535689","hash clear","hash clear, see triage for 3 accounts needing hash clear","","?"
"2025-02-12 22:07:56","INC41535912","Selected Issue: IRIS - i keep getting pop ups , hostess not connecting, cant open order, and assist members ","i keep getting pop ups , hostess not connecting, cant open order, and assist members ","","Order Issue, User Request"
"2025-02-12 22:44:40","INC41536609","IRIS (Integrated Rx Information System) - Orders stuck in Pick Release.","Orders stuck in Pick Release. Assign to Rebecca Lever MSA ORACLE EBS (RXS) – SPT  779077617-3 779077617-4 779279627-1 779768934-1 - Closed 779789711-1 780154309-1 780707520-1 - Closed 780753643-1 - Closed 781057674-1 - Closed 781418136-2 - Closed  Product entered by customer: ","Orders stuck in Pick Release.","Order Issue"
"2025-02-12 22:46:03","INC41536591","IRIS TS02_ Orders set to QMSI EXPORT HOLD","We are facing the QMSI EXPORT HOLD for the order# 775114713 in TS02, the hold comments says as below. I am able to remove the hold but after running the RxSpecialty Threshold Check  I seeing the hold back again.  Err_ID: 2250474197 Code: -6533 Msg: ORA-06533: Subscript beyond count Back Trace: ORA-06512: at ""APPS.XXIRIS_DOMS_SPECIALTY_UTIL_K"", line 743 ORA-06512: at ""APPS.XXIRIS_DOMS_SPECIALTY_UTIL_K"", line 743 ","","User Request"
"2025-02-12 22:53:29","INC41536742","IRIS (Integrated Rx Information System) - unable to login","IRIS password reset","unable to login","Password, User Login"
"2025-02-12 23:22:08","INC41537167","IRIS- Unable to add credit card","Unable to add credit card on CCG/ IRIS. Message: Internal Error"," Unable to add credit card","Payment, Errors"
"2025-02-12 23:45:47","INC41537439","IRIS - i cant access my iris","user state she cannot access her iris application","","User Login"
"2025-02-13 00:05:37","INC41537618","IRIS Image Viewer - Unable to find issue for IRIS Image Viewer","my image viewer stops working","its not openning","Launch Issues, Image Viewer"
"2025-02-13 01:23:21","INC41538103","Access request to IRIS environment TS02","Hi, I'd like to request access to IRIS env TS02 to create test data and run tests for my user stories. Thank you","","User Request"
"2025-02-13 01:43:31","INC41538231","IRIS - keeps on freezing","IRIS - keep freezing - and some option is not working","","Latency"
"2025-02-13 02:00:02","INC41538291","File Not moving in Azure :: WIP/CEP2_FL_IRIS_DONT_CALL_AND_EMAIL_AZ_0.1","Incident has been created as below files are not moved from respective paths for mentioned hours from Azure. FileName : CEP2_DNE_20250212.txt, FilePath : /mnt/cep2azure/CEP_AZURE_SOURCE_DATA/PRD/WIP/CEP2_FL_IRIS_DONT_CALL_AND_EMAIL_AZ_0.1/CEP2_DNE_20250212.txt, Hours : 6.  Kindly check the file activity","","User Request, nonsense"
"2025-02-13 07:57:14","INC41539653","DSM - PH511  not responding http://dsmep0310/DSWeb/default.aspx","DSM - PH511  not responding http://dsmep0310/DSWeb/default.aspx","","User Request"
"2025-02-13 08:43:38","INC41539984","IRIS (Integrated Rx Information System) - Request or Update Access to IRIS (Integrated Rx Information System)","Require access to IRIS Stage and DEV","","User Request"
"2025-02-13 12:25:38","INC41541285","IRIS (Integrated Rx Information System) - closing order with 2+ days aging","closing order with 2+ days aging  Product entered by customer: ORX PCS OV - SPT","closing order with 2+ days aging","?"
"2025-02-13 12:40:59","INC41541452","IRIS (Integrated Rx Information System) - Unable to Login","I'm calling because I'm trying to log in to Iris. However it's not recognizing the the password. Recently I had to reset the password and place a new one and when I enter the new one it says login failed. Please verify your login information or contact the System Administrator.","Unable to Login","Password, User Login"
"2025-02-13 13:10:52","INC41541824","PB- Oder open in IRIS ","i would like to close these following orders  772212834-1 [9270190350467713863597] 771948086-1 [9270190350467713863511] 772038028-1 [9270190350467713863948] 770790307-1 [9270190350467713864396] 771640073-1 [9270190350467713866208] 772033243-1 [9270190350467713866727] 771690514-1 [9270190350467713880396] 774807083-1 [9270190350467714897409] 773251500-2 [9270190350467714897799] 774151028-1 [9270190350467714898048] 774845597-1 [9270190350467714898246] 774757242-1 [9270190350467714898673] 773537440-1 [9270190350467714898871] 774155174-1 [9270190350467714899359] 774485253-1 [9270190350467714899724] 774128536-2 [9270190350467714900949] 774790718-1 [9270190350467714901281] 774555539-1 [9270190350467714901649] 775717782-1 [9270190350467715563129] 780536286-1 [9270190350467718130373]","i would like to close these following orders 772212834-1 [9270190350467713863597] 771948086-1 [9270190350467713863511] 772038028-1 [9270190350467713863948] ","Order Issue"
"2025-02-13 13:17:31","INC41541969","IRIS (Integrated Rx Information System - Requesting additional profiles be added for users","Please assign ticket to IRIS Pharmacy Central Non Prod ServiceNow Group. Requesting additional profiles be added for users attached to ticket in IRIS TS02 Lower Environment.","Requesting additional profiles be added for users","?"
"2025-02-13 13:36:50","INC41542427","IRIS (Integrated Rx Information System) - Unable to Login","IRIS - unable to login ","unable to login ","User Login"
"2025-02-13 13:40:07","INC41542499","IRIS (Integrated Rx Information System) - Any Access Issue or Request with IRIS Training Environment","Need access to IRIS TSO2 application with the following roles(Pharmacist and Specialty pharmacists responsibilities) for the below list of associates   S.No	First Name	Last Name	MS ID	Emp ID	email ID 1	Srikanth	Choutapally	Schoutap	002181619	srikanth_choutapally@optum.com 2	Anantharaaman	S	as183	002293638	anantharaaman_s@optum.com 3	Chandra Shekar	Gadipelli	cgadipe1	000914451	chandrashekar_gadipelli@optum.com 4	Sridhar	Voleti	svoleti3	002268076	sridhar_voleti@optum.com 5	Gajenther	Palaniappan	gpalan20	002268072	gajenther_palanippan@optum.com 6	Ragave	Manokaran	rmanoka7	002277489	ragave_manokaran@optum.com 7	Pushkaraj	Purud	ppurud	002282082	pushkaraj_purud@optum.com 8	Karthik	Vijaykumar	kvijayk6	002275463	karthik_vijayakumar3@optum.com 9	Shashank	Saxena	ssaxe113	002293499	shashank_saxena2@optum.com 10	Aysath	Adila P A	aadilap	002296421	aysath_adilapa@optum.com 11	Bhanu Prakash	Uppala	buppala	002241446	bhanuprakash_uppala@optum.com 12	Sachin Dhrum	Singh	ssin1307		sachindhrum_singh@optum.com  Product entered by customer: IRIS TSO2","IRIS (Integrated Rx Information System)","User Login, User Request"
"2025-02-13 14:01:20","INC41542979","IRIS (Integrated Rx Information System) - Unable to Login","I am unable to login to iris, it says, ""Login failed"". When I try to reset password, I enter my MSID in 'forgot password' and it is supposed to send me an email to reset, but I have not received an email.","unabl to login","Password, User Login"
"2025-02-13 14:34:37","INC41543972","GetDrugDetails - WS errors on xxiris_common_error_log","GetDrugDetails - WS errors on xxiris_common_error_log","","?"
"2025-02-13 14:39:38","INC41544161","IRIS (Integrated Rx Information System) - Unable to Login","I cannot log into iris ","","User Login"
"2025-02-13 14:57:47","INC41544876","Order not closed in IRIS.","Assign ticket to ORX PCS IT - SP please close in IRIS  781049767-1 779911543-2 781049767-1 781034996-1  Product entered by customer: ","","Order Issue"
"2025-02-13 14:58:28","INC41544756","APVES79073 E: drive appears to be out of space - unable to process Altiris creates","When trying to run a create in Ops utility we are getting an error that copy is failing on server APVES79073.  After investigation I found that the E: drive is full on APVES79073.  This is stopping us from running any new creates in Altiris. ","","?"
"2025-02-13 15:13:54","INC41545425","Symantec Management Platform (Altiris) - Unable to find issue for Symantec Management Platform (Altiris)","I had a BIOS update on my computer last Tuesday and it is pop up again yesterday and it is pop up again today and I need","","User Request"
"2025-02-13 15:21:24","INC41545683","IRIS LAGGING","IRIS LAGGING","","Latency"
"2025-02-13 15:31:20","INC41545992","Request for Help Desk support","I cannot login to IRIS","","User Login"
"2025-02-13 15:32:41","INC41546034","IRIS (Integrated Rx Information System) - Unable to login","Other Issue","Unable to login","User Login, Alert"
"2025-02-13 15:40:28","INC41546287","IRIS issue","I can not get IRIS to open ","","Launch Issues, Errors"
"2025-02-13 15:43:35","INC41546371","Toad password reset","I have updated my RXEPRR password in secure but Toad is saying that my name and password are not valid after updating. Can someone please assist me in correcting whatever the issue is to get back into Toad.","Toad password reset","Password"
"2025-02-13 16:05:45","INC41547089","IRIS (Integrated Rx Information System) - Unable to Login","Issue: I'm actually having problems resetting my iris password, I actually tried utilizing the login assistance so I can reset it through the link that would. Be sent to my e-mail. However, I did not receive any e-mail at all.","Need to reset IRIS password","Password, User Login"
"2025-02-13 16:08:48","INC41547177","RPA ORX HDP REJECT CODE 70 : Iris Password Expired","RPA ORX HDP REJECT CODE 70 : Iris Password Expired Machine on which job failed are :MS\RPA_CSA_ODC_132 Domain:  Origin: https://phi-splunk.optum.com/app/optum_rpa_cc/@go?sid=scheduler__gmuthura_b3B0dW1fcnBhX2Nj__RMD52253d006d4cf8cd6_at_1739462400_68695_ACB5780F-8F60-4C8D-989D-F7366FEAE6A7 Application: RPA ORX HDP REJECT CODE 70 Category: Automation Source: SPLUNK Severity: warning Alertid: 0023983461","","Password, Alert"
"2025-02-13 16:16:23","INC41547358","Altiris training","Altiris training and ActiveX control ","","?"
"2025-02-13 16:28:47","INC41547822","IRIS issue","Not able to make changes in IRIS white background screen when end task reopen still same issue.","","Errors"
"2025-02-13 16:45:25","INC41548073","Needed  SOA d0 Adjudication web service info for writing d0 application in Cayman","Needed  SOA d0 Adjudication web service for writing d0 application in Cayman","","?"
"2025-02-13 16:47:22","INC41548452","enable profiles from FEB release for Hakuna Matata Scrum team","Please enable the below profiles from FEB release for Hakuna Matata Scrum team:  XXIRIS DE702807 Enable Excluding SMS Orders OB, XXIRIS Enable US7786857 Rx Audit Changes, XXIRIS Enable Cancelrx PI Complete Changes, XXIRIS Enable ROR Remove Slash Profile, XXIRIS Enable NBD Not valid Month Changes","","RX locked"
"2025-02-13 16:50:24","INC41548435","Surescript repointing to TS09 for sprint testing","Hi Rahul,   Could you please redirect Surescript back to TS09 so we can continue our sprint testing.  ","","nonsense"
"2025-02-13 16:55:44","INC41548727","Request for Help Desk support","releas lock on 782162120","","RX locked"
"2025-02-13 16:57:28","INC41548783","IRIS (Integrated Rx Information System)","Unable to login into IRIS TS02, need a password reset","Unable to login into IRIS TS02, need a password reset","Password"
"2025-02-13 16:59:08","INC41548778","RE: Alert - Adjudication Failures (92, 99, 96) in the last 1 hour are greater than 2000","Received alerts stating 30k+ Adjudication failures.","","User Request, nonsense"
"2025-02-13 16:59:34","INC41548836","IRIS (Integrated Rx Information System) - I've been having problems with my IRIS. I can't work efficiently","I've been having problems with my IRIS. I can't work efficiently. I have to close or force IRIS to restart while I have the member on the line. Sometimes the member doesn't' want to wait & I can't review all the alerts on their account because they are not populating & the member can't wait. Which causes my FCR/metrics to be lower. IRIS freezes in simple tasks. For example, when I am switching tabs it freezes, if I'm putting the medications on auto refill it freezes. When I click the alerts tab to see dashboard the info is not populated, I can't add a phone # the box stays grey, the screen turning black randomly & I have to force IRIS to shut down. Other times I can't create accounts & the names of the members are not common ones- it closes by itself & I have to start all over again.  Product entered by customer: iris","I've been having problems with my IRIS. I can't work efficiently. I have to close or force IRIS to restart while I have the member on the line. Sometimes the member doesn't' want to wait & I can't review all the alerts on their account because they are not populating & the member can't wait. Which causes my FCR/metrics to be lower. IRIS freezes in simple tasks. For example, when I am switching tabs it freezes, if I'm putting the medications on auto refill it freezes. When I click the alerts tab to see dashboard the info is not populated, I can't add a phone # the box stays grey, the screen turning black randomly & I have to force IRIS to shut down. Other times I can't create accounts & the names of the members are not common ones- it closes by itself & I have to start all over again.","Latency, Errors, Crash"
"2025-02-13 17:15:22","INC41549318","Request for Help Desk support","need data fix to discontinue rx 241571656357. When user tries to manually discontinue it is just crashing their iris session. please route to msa oracle spt","","Data Fix"
"2025-02-13 17:21:41","INC41549507","Request for Help Desk support","iris frozen while on a call, documentation only","","Latency"
"2025-02-13 17:23:59","INC41549112","IRIS (Integrated Rx Information System) - unable to use Universal Search Member feature","IRIS (Integrated Rx Information System) - unable to use Universal Search Member feature","IRIS (Integrated Rx Information System) - unable to use Universal Search Member feature","?"
"2025-02-13 17:35:09","INC41549906","FLW - Symantec Management Platform (Altiris) - Unable to deploy installation for BIOS Deployment 1.1","deployment 1.1 appears I need to deploy the installation","deployment 1.1 appears I need to deploy the installation","User Request"
"2025-02-13 18:04:40","INC41550736","PSC chat and IRIS issue","I fill out info to submit to PCS Support Chat 2, but it never appears? Also, unable to set up new account with member ID in Iris","","User Login, User Request"
"2025-02-13 18:33:39","INC41551551","Request for Help Desk support","i cannot log into IRIS, i clicked reset password and did not receive an email with steps","","User Login"
"2025-02-13 18:37:52","INC41551681","IRIS (Integrated Rx Information System) - Unable to find issue for IRIS (Integrated Rx Information System)","Please forward to EPMP Team PT not receiving a notification via text message for the order status of his medications","Please forward to EPMP Team PT not receiving a notification via text message for the order status of his medications","Errors"
"2025-02-13 19:05:20","INC41552456","Self Service Ticket","iris is still not allowing log in after several restarts and a complete shut down  Product entered by customer: ","","User Login"
"2025-02-13 19:21:35","INC41552865","RCA required for ORTF Fallout records - ORTF tab missing. ","Hi Emmanuel, As you are done with this data fix, please provided RCA on below  INC40999574 INC40964160  INC40997638 ","","Data Fix"
"2025-02-13 19:26:35","INC41553053","Optum Specialty Pharmacy (ONCOLOGY) ""e-prescriptions"" are NOT loading into IRIS or Salesforce for teams to work.","Optum Specialty Pharmacy (ONCOLOGY) ""e-prescriptions"" are NOT loading into IRIS or Salesforce for teams to work.","Optum Specialty Pharmacy (ONCOLOGY) ""e-prescriptions"" are NOT loading into IRIS or Salesforce for teams to work.","Launch Issues, User Request"
"2025-02-13 19:29:07","INC41553112","Data Fix to update the account name to upper case.","Data Fix to update the account name to upper case.","","?"
"2025-02-13 19:52:41","INC41553771","IRIS (Integrated Rx Information System) - Unable to Login due to missing access for IRIS","I'm trying to login to IRSI, leave. My MS ID is already reset. something wrong","Inactive access","User Login, Errors"
"2025-02-13 19:59:57","INC41553948","Selected Issue: IRIS","ORDER NOT PROCESSING CAN NOT RECALL ORDER ERROR MESSAGE COMING UP","","Order Issue"
"2025-02-13 20:12:23","INC41554263","IRIS - Mouse focus","keep getting mouse focus w/iris ","","?"
"2025-02-13 20:19:46","INC41554314","Need to Data fix to correct the wrong Rx Number","Need to Data fix to correct the wrong Rx Number - this is causing reporting to fail. ","","Data Fix"
"2025-02-13 20:33:56","INC41554825","IRIS Image Viewer - unable to load image viewer","My image viewer is not working, ","unable to load image viewer ","Image Viewer"
"2025-02-13 20:53:56","INC41555302","IRIS (Integrated Rx Information System) - MY IRIS IS NOT WORKING. ALSO MY COMPUTER IS TRYING TO UPDATE WINDOWS BUT THE INSTALLATION IS FAILING","MY IRIS IS NOT WORKING. ALSO MY COMPUTER IS TRYING TO UPDATE WINDOWS BUT THE INSTALLATION IS FAILING","MY IRIS IS NOT WORKING. ALSO MY COMPUTER IS TRYING TO UPDATE WINDOWS BUT THE INSTALLATION IS FAILING","Errors"
"2025-02-13 21:43:10","INC41556433","Rx locked for editing in IRIS.","Rx 458271314 is locked for editing past the standard 30 minute session timeout, please unlock.","","RX locked"
"2025-02-13 22:06:21","INC41556298","after IRIS password reset, user is unable to sign in","after IRIS password reset, user is unable to sign in","","Password"
"2025-02-13 22:09:02","INC41557017","DBA - In need of assistance running update Queries for data and testing in TS01 for Pooled PV.","DBA - In need of assistance running update Queries for data and testing in TS01 for Pooled PV.","Information not provided at time of submission","?"
"2025-02-13 22:14:44","INC41557133","IRIS (Integrated Rx Information System) - Users are unable to pull the member details in IRIS. Error: There is no member with matching criteria.","I am calling in about issue with IRIS","Unable to pull users details in IRIS","User Login, Errors"
"2025-02-13 22:29:46","INC41557404","ORx Tri-Pe B (Mesa) - Order failed to export to WMS/IRIS: 782182294-2","To be worked on by :  @ORx_Dispensing_IT_Support<ErrorMessage> TrackingNumberBarCode 1ZC6J2590305288960 assigned for order # 782182294-2.</ErrorMessage>  Product entered by customer: ","rrorMessage> TrackingNumberBarCode 1ZC6J2590305288960 assigned for order # 782182294-2.</ErrorMessage> ","User Request"
"2025-02-13 22:40:53","INC41557584","IRIS (Integrated Rx Information System) - Users are unable to pull the member details in IRIS. Error: There is no member with matching criteria.","I am calling in about issue with IRIS","Unable to pull users details in IRIS","User Login, Errors"
"2025-02-13 23:08:43","INC41558012","RPA ORX HDP REJECT CODE 70 : Iris Password Expired","RPA ORX HDP REJECT CODE 70 : Iris Password Expired Machine on which job failed are :MS\RPA_CSA_ODC_133 Domain:  Origin: https://phi-splunk.optum.com/app/optum_rpa_cc/@go?sid=scheduler__gmuthura_b3B0dW1fcnBhX2Nj__RMD52253d006d4cf8cd6_at_1739487600_1608_25F3BFEB-A4BB-4779-82CB-8A2528B376E2 Application: RPA ORX HDP REJECT CODE 70 Category: Automation Source: SPLUNK Severity: warning Alertid: 0024015135","","Password, Alert"
"2025-02-14 00:49:31","INC41558898","need datafix to book order ","need datafix to book order  782543578","","?"
"2025-02-14 02:19:32","INC41559307","GA950- IRIS-application freezing","application freezing","","Latency"
"2025-02-14 03:09:36","INC41559531","IRIS - unable to order ","IRIS - unable to order ","","Order Issue"
"2025-02-14 04:00:43","INC41559671","IRIS (Integrated Rx Information System) - IRIS blacked out and unable to exit.","IRIS BLACKED OUT AND WOULD NOT ALLOW ME TO EXIT.  Product entered by customer: "," IRIS blacked out and unable to exit.","Crash"
"2025-02-14 07:08:35","INC41560473","dsmep0418.ms.ds.uhc.com is down from Availability Monitoring","dsmep0418.ms.ds.uhc.com is down from Availability Monitoring ","","?"
"2025-02-14 07:12:34","INC41560495","GGN Site-II554 & II547 DSM not working,http://dsmep0594/dsweb/default.aspx,  http://dsmep0401/dsweb/default.aspx, ","Unable to access DSM.  http://dsmep0594/dsweb/default.aspx http://dsmep0401/dsweb/default.aspx","","User Request"
"2025-02-14 07:16:06","INC41560513","IRIS Task Manager Tool - Error ""attempted to reconnect to sever""","So there's an application called Iris Task Manager tool. It is not working for me. Error ""attempted to reconnect to sever""","attempting to Appav","Errors"
"2025-02-14 07:41:39","INC41560517","Need to update the iRIS password in cyber ark","Please to update the IRIS password rpa_csa_odc_133 in cyber ark","","Password"
"2025-02-14 10:32:57","INC41561349","IRIS (Integrated Rx Information System) - Request or Update Access to IRIS (Integrated Rx Information System)","One of the process name called specialty and I raised a secure request for Iris application and I got access for that for that application. But when I want to use that application I need the password reset. So if I click the password reset I'm not getting any e-mail to reset the password. ","How to reset your IRIS password","Password"
"2025-02-14 11:28:54","INC41561639","IRIS (Integrated Rx Information System) - 2 +days aged orders need to be cleared in WMS and Iris ","2 +days aged orders need to be cleared in WMS and Iris send to ORx_Dispensing_IT_Support <OptumRx_Dispensing_IT_Support_DL@ds.uhc.com> 781030830 780133737  780133737  780133737  780133737  780133737  780133737  781256508  781783773  781811319 orders in transit","2 +days aged orders need to be cleared in WMS and Iris send to ORx_Dispensing_IT_Support <OptumRx_Dispensing_IT_Support_DL@ds.uhc.com> 781030830 780133737 780133737 780133737 780133737 780133737 780133737 781256508 781783773 781811319 orders in transit","Alert"
"2025-02-14 11:51:02","INC41561744","EPMP enabled for ST01, queue populate and F5 stats monitoring","EPMP queue populate and F5 stats monitoring","","Data Fix"
"2025-02-14 13:14:38","INC41562576","TS02 Access","Please assign to IRIS-Pharmacy Central Non Prod  Product entered by customer: Please assign to IRIS-Pharmacy Central Non Prod","IRIS (Integrated Rx Information System)","?"
"2025-02-14 13:26:38","INC41562251","Not able to see hold actions  for copay hold, credit card pre auth failure hold  in  IRIS TS02 lower env ","Not able to see hold actions  for copay hold, credit card pre auth failure hold  in  IRIS TS02 lower env  I am using OM super user Responsibility i have: AR manager, OM Super User, ORx CS Navigator Rep, Pharmacist, Specialty Pharmacist, Drug File Maintenance please find the screen shot attachment of TS02","","Payment, User Request"
"2025-02-14 13:31:14","INC41562880","IRIS (Integrated Rx Information System)","IRIS on black screen","NA","Latency, User Request"
"2025-02-14 13:53:59","INC41563193","All devices were removed/deleted from DSMEP0602 and repopulated in the desktop folder","Please reference INC41487030.  This ticket was open with Sys Mgmt Ops EUTS  It was suggested to open a ticket with your group to investigate this issue. We are finding devices disappearing from all the folders on DSMEP0602 and repopulating to the Desktop folder. DSM Ops group was unable to find anything on the server end that would move devices and there are no logs to go back to check or an audit trail that can link them to the issue. Would you know of any tools that would grab all devices in one folder and move them or delete them?  This issue occurred on Monday afternoon and today around 9:00am CT.","","User Login"
"2025-02-14 14:15:49","INC41563826","Profiles from Feb IRIS release - Creme DeSprint","Needing to turn profiles on from the FEB IRIS Release. (11:30AM CT Timeslot) 1. XXIRIS_US7902861_SWITCH_PF (OOS Holds will clear the delivery date range - monitor through a query) 2. XXIRIS_US8030696_EPE_EXCEPTION_SERVICE_PF (Switching from EPE to Fill Experience, however old EPE API is still active and will provide a response as it does today) 3. XXIRIS_US7667890_M3P_PROMPT_STORE_SWITCH_PF (Stores a value in global_attribute12 on  oe_order_headers_all)","","Alert, Errors"
"2025-02-14 14:22:07","INC41564086","Orders not closed in IRIS","Orders not closed in IRIS   O#781431766-1  O#781392798-1  Product entered by customer: IRIS/WMS/.PCS","","Order Issue"
"2025-02-14 14:45:10","INC41564214","Need a query pulled to identify members that were disenrolled from HFF due to CAG deactivation. See ","Need a query pulled to identify members that were disenrolled from HFF due to CAG deactivation. See attached impact report  - Please include the following fields.  see example query under INC41008062 that was used for CALPERS  ACCOUNT_NUMBER	 PATIENT_ACCOUNT_ID	 RX_NUMBER	 RX_VERSION_NUMBER	 TRANSFER_PHAR_CODE	 INVENTORY_ITEM_ID	 HFF_REASON	 DROP_DATE	 DATE_FOR_NEXT_FILL	 NEED_BY_DATE	 HDP_SMS	 CAG_NAME	 CAG_ACCOUNT_NUMBER	 CAG_PARTY	 CAG	 CAG_CARRIER	 CAG_ACCOUNT	 CAG_GROUP	 CAG_REGISTRY_ID ","","Alert"
"2025-02-14 14:45:17","INC41564666","IRIS - Order stuck in APS In Process","IRIS order stuck in APS In Process, need order to be closed."," Order stuck in APS In Process","Order Issue"
"2025-02-14 14:48:51","INC41564758","IRIS (Integrated Rx Information System) -Cannot cancel IRIS order","Cannot cancel IRIS order","","Order Issue"
"2025-02-14 14:49:10","INC41564736","Cap rx conversion concurrent program run ","please run attach file through the Cap rx conversion concurrent program ","","?"
"2025-02-14 14:50:42","INC41564786","Need a data fix to re-enroll members into HFF that were disenrolled from HFF - second part to INC41564214 ","this is the request for the Data Fix once the query is available from INC41564214","","Data Fix"
"2025-02-14 15:17:35","INC41565593","IRIS (Integrated Rx Information System) - Unable to Login","I'm having problem with the web page","Unable to login to IRIS","User Login"
"2025-02-14 15:18:41","INC41565619","IRIS (Integrated Rx Information System) - Launch Issues","Hi good morning. So I'm not sure if I'm calling the right place like I'm I'm having issues with Iris.  I can't get it to open completely."," - Launch Issues","Launch Issues"
"2025-02-14 15:26:21","INC41565719","order is placed user didn't place order, auto refill is off. can you please check and let us know how this order is placed","order is placed user didn't place order, auto refill is off. can you please check and let us know how this order is placed. user is upset because of this.  95424111200 Mid, f1fb4856-4734-4ecd-9158-5b6878b98da4 - uuid, patientid - 80897667, 1:46 am order is placed 782624747-1  ","","Order Issue"
"2025-02-14 15:59:08","INC41566680","IRIS (Integrated Rx Information System) - Order duplication issue","IRIS order duplication","IRIS order duplication","?"
"2025-02-14 16:11:23","INC41566998","Issues with IRIS","Issues with IRIS + multiple reboots","","Errors"
"2025-02-14 16:46:53","INC41568009","IRIS (Integrated Rx Information System) - Unable to Login","I cannot login to my IRIS account","Can't login in IRIS","User Login"
"2025-02-14 16:52:36","INC41568179","Selected Issue: IRIS","iris app wont open ","","Launch Issues"
